pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,redirect,new,days_since_last_update
143364,0,Culture hero,wikitext,en,en,ltr,2023-12-06 01:55:58+00:00,1170980033,5246,,,2
1654632,0,Culture of life,wikitext,en,en,ltr,2023-12-06 11:19:52+00:00,1188345614,29163,,,1
42730418,0,Depression and culture,wikitext,en,en,ltr,2023-12-06 02:54:50+00:00,1170233069,25768,,,2
60852572,0,Design culture,wikitext,en,en,ltr,2023-12-06 03:10:12+00:00,1172947193,18437,,,2
12401182,0,Design theory,wikitext,en,en,ltr,2023-12-06 02:18:21+00:00,1149146356,4684,,,2
62379378,0,Duocentric social network,wikitext,en,en,ltr,2023-12-06 03:11:21+00:00,1160061675,29146,,,2
167703,0,Empowerment,wikitext,en,en,ltr,2023-12-08 05:06:28+00:00,1186494184,29973,,,0
25907070,0,Ethnoscience,wikitext,en,en,ltr,2023-12-06 02:36:00+00:00,1182952578,21086,,,2
36791036,0,Genre-busting,wikitext,en,en,ltr,2023-12-06 02:47:57+00:00,1182928749,4831,,,2
3039067,0,High-context and low-context cultures,wikitext,en,en,ltr,2023-12-06 02:05:14+00:00,1187822284,36917,,,2
1396834,0,High culture,wikitext,en,en,ltr,2023-12-06 21:29:25+00:00,1185529531,23792,,,1
1525258,0,Highbrow,wikitext,en,en,ltr,2023-12-06 02:01:21+00:00,1188196063,8267,,,2
69491097,0,Historical culture,wikitext,en,en,ltr,2023-12-06 03:16:54+00:00,1159308004,2125,,,2
24723521,0,Outline of culture,wikitext,en,en,ltr,2023-12-06 02:34:25+00:00,1182626684,43304,,,2
29560452,0,The arts,wikitext,en,en,ltr,2023-12-07 04:50:07+00:00,1184111952,49812,,,1
477975,0,Cultural identity,wikitext,en,en,ltr,2023-12-06 01:57:38+00:00,1185547149,37746,,,2
6267,0,Cultural imperialism,wikitext,en,en,ltr,2023-12-08 00:28:09+00:00,1188768792,63711,,,0
8950930,0,Cultural memory,wikitext,en,en,ltr,2023-12-06 02:14:22+00:00,1162892599,20552,,,2
37886950,0,Culture and social cognition,wikitext,en,en,ltr,2023-12-06 02:49:10+00:00,1184024306,12863,,,2
73512780,0,Historical Documents Centre,wikitext,en,en,ltr,2023-12-06 03:19:52+00:00,1176949167,3147,,,2
677443,0,Homo faber,wikitext,en,en,ltr,2023-12-06 01:58:29+00:00,1144231546,2751,,,2
563299,0,Human behavior,wikitext,en,en,ltr,2023-12-06 01:57:59+00:00,1184026257,56790,,,2
50951733,0,Human interactions with microbes,wikitext,en,en,ltr,2023-12-06 03:01:57+00:00,1171946984,34415,,,2
13831,0,Human rights,wikitext,en,en,ltr,2023-12-07 04:39:39+00:00,1186548817,111871,,,1
13598464,0,Hypermobility (travel),wikitext,en,en,ltr,2023-12-08 00:50:23+00:00,1182797718,8286,,,0
33596709,0,Individualistic culture,wikitext,en,en,ltr,2023-12-06 02:44:15+00:00,1174131846,16512,,,2
861492,0,Intercultural communication,wikitext,en,en,ltr,2023-12-07 16:56:59+00:00,1188777825,57464,,,0
782895,0,Interculturalism,wikitext,en,en,ltr,2023-12-06 01:58:51+00:00,1179198510,27195,,,2
32017750,0,Languaculture,wikitext,en,en,ltr,2023-12-06 02:42:28+00:00,1161805682,4836,,,2
12870646,0,Legal culture,wikitext,en,en,ltr,2023-12-06 02:19:14+00:00,1182855110,18783,,,2
190041,0,Lifestyle (social sciences),wikitext,en,en,ltr,2023-12-06 01:56:16+00:00,1183001292,19230,,,2
1123773,0,Literary fiction,wikitext,en,en,ltr,2023-12-06 01:59:59+00:00,1184802149,16147,,,2
2490371,0,Low culture,wikitext,en,en,ltr,2023-12-06 16:33:47+00:00,1188623483,30408,,,1
1525262,0,Middlebrow,wikitext,en,en,ltr,2023-12-07 04:41:04+00:00,1178914384,17510,,,1
18841893,0,Nudity,wikitext,en,en,ltr,2023-12-07 22:46:02+00:00,1188824967,142152,,,0
22810417,0,Official culture,wikitext,en,en,ltr,2023-12-03 12:49:19+00:00,1107920680,2176,,,4
70094520,0,Paulistania (region),wikitext,en,en,ltr,2023-12-06 03:17:20+00:00,1185002707,12833,,,2
63690634,0,Pet culture,wikitext,en,en,ltr,2023-12-06 03:12:29+00:00,1187778000,15445,,,2
34454406,0,Philosophy of culture,wikitext,en,en,ltr,2023-12-04 20:20:00+00:00,1169375258,8667,,,3
70565448,0,Prehistory of nakedness and clothing,wikitext,en,en,ltr,2023-12-06 03:17:43+00:00,1185809105,30124,,,2
1713306,0,Primitive Culture (book),wikitext,en,en,ltr,2023-12-06 02:01:54+00:00,1183962417,3419,,,2
25414,0,Religion,wikitext,en,en,ltr,2023-12-07 04:39:41+00:00,1187412130,170827,,,1
41748961,0,Resistance through culture,wikitext,en,en,ltr,2023-12-06 02:53:43+00:00,1128320358,5326,,,2
35291011,0,Semiotics of culture,wikitext,en,en,ltr,2023-12-03 12:50:29+00:00,1168689168,4166,,,4
26642577,0,Sophistication,wikitext,en,en,ltr,2023-12-06 02:36:55+00:00,1086320222,12075,,,2
25778403,0,Sport,wikitext,en,en,ltr,2023-12-07 04:48:59+00:00,1182917901,64653,,,1
73999006,0,Successor culture,wikitext,en,en,ltr,2023-12-06 03:20:21+00:00,1163817986,1627,,,2
32839108,0,Superficiality,wikitext,en,en,ltr,2023-12-06 05:00:22+00:00,1168185665,11526,,,2
42534554,0,Theology of culture,wikitext,en,en,ltr,2023-12-04 20:22:58+00:00,1179820650,874,,,3
38566488,0,Trademark look,wikitext,en,en,ltr,2023-12-07 04:52:16+00:00,1139916663,3821,,,1
30049818,0,Welfare culture,wikitext,en,en,ltr,2023-12-06 02:40:32+00:00,1174004543,13140,,,2
4016688,0,Word wall,wikitext,en,en,ltr,2023-12-06 02:07:04+00:00,1183396170,1808,,,2
694863,14,Category:Anthropology,wikitext,en,en,ltr,2023-12-05 01:27:53+00:00,1175397965,301,,,3
51591527,14,Category:Artificial objects,wikitext,en,en,ltr,2023-11-04 09:07:39+00:00,1087517222,154,,,33
62936187,14,Category:Awards for contributions to culture,wikitext,en,en,ltr,2023-09-19 21:11:14+00:00,937692144,116,,,79
3255048,14,Category:Civilizations,wikitext,en,en,ltr,2023-11-03 05:28:27+00:00,1110911260,507,,,35
737090,14,Category:Clothing,wikitext,en,en,ltr,2023-10-25 18:24:10+00:00,1173731085,145,,,43
9592135,14,Category:Cultural lists,wikitext,en,en,ltr,2023-12-07 08:24:53+00:00,1185003901,161,,,0
12315355,14,Category:Culture by ethnicity,wikitext,en,en,ltr,2023-11-24 03:09:13+00:00,1052339834,412,,,14
31164626,14,Category:Culture by language,wikitext,en,en,ltr,2023-11-25 06:50:18+00:00,952504093,120,,,12
18984719,14,Category:Culture by location,wikitext,en,en,ltr,2023-12-03 02:54:43+00:00,1051568343,98,,,5
61788684,14,Category:Culture by period,wikitext,en,en,ltr,2023-11-20 05:34:27+00:00,1100191837,118,,,18
5731205,14,Category:Cultures,wikitext,en,en,ltr,2023-11-20 05:19:29+00:00,1044464886,69,,,18
4892515,14,Category:The arts,wikitext,en,en,ltr,2023-11-29 22:10:12+00:00,1177952030,244,,,8
55426707,14,Category:Topics in culture,wikitext,en,en,ltr,2023-11-24 04:08:29+00:00,1112372119,124,,,14
40658899,0,ART/MEDIA,wikitext,en,en,ltr,2023-12-06 02:52:21+00:00,1183126781,10307,,,2
3410311,0,Acknowledgment (creative arts and sciences),wikitext,en,en,ltr,2023-12-06 02:05:58+00:00,1168418900,4816,,,2
55657946,0,Adaptation (arts),wikitext,en,en,ltr,2023-12-04 20:27:24+00:00,1155064400,4533,,,3
3603659,0,Aesthetic relativism,wikitext,en,en,ltr,2023-11-24 02:51:22+00:00,1142400651,2882,,,14
71257892,0,After (art),wikitext,en,en,ltr,2023-12-07 05:00:17+00:00,1175917877,15131,,,1
33563052,0,Anthropotechnic,wikitext,en,en,ltr,2023-12-06 02:44:14+00:00,1012587581,7037,,,2
1333905,0,Applied arts,wikitext,en,en,ltr,2023-12-04 19:56:06+00:00,1183345131,5149,,,3
752,0,Art,wikitext,en,en,ltr,2023-12-07 04:39:38+00:00,1186721213,129374,,,1
63535453,0,Art-based research,wikitext,en,en,ltr,2023-12-06 03:12:22+00:00,1166476245,8131,,,2
863862,0,Artes mechanicae,wikitext,en,en,ltr,2023-12-06 01:59:02+00:00,1163922052,3900,,,2
518965,0,Artistic freedom,wikitext,en,en,ltr,2023-12-07 04:40:12+00:00,1174761071,36605,,,1
37727666,14,Category:Art and culture law,wikitext,en,en,ltr,2023-11-29 06:54:03+00:00,942952140,210,,,8
33502265,14,Category:Collectivism,wikitext,en,en,ltr,2023-12-06 17:21:25+00:00,1069364645,240,,,1
17840961,14,Category:Counterculture,wikitext,en,en,ltr,2023-10-25 19:15:43+00:00,940256332,158,,,43
26562487,14,Category:Cultural concepts,wikitext,en,en,ltr,2023-08-27 00:01:38+00:00,1154796900,178,,,103
10327838,14,Category:Cultural education,wikitext,en,en,ltr,2023-09-24 16:24:55+00:00,1104905089,162,,,74
27478516,14,Category:Cultural events,wikitext,en,en,ltr,2023-11-16 20:21:58+00:00,1086964415,184,,,21
23508439,14,Category:Cultural exchange,wikitext,en,en,ltr,2023-11-24 03:24:20+00:00,1164900767,207,,,14
18907287,14,Category:Cultural generations,wikitext,en,en,ltr,2023-10-25 19:18:24+00:00,1174047916,354,,,43
24816140,14,Category:Cultural mass media,wikitext,en,en,ltr,2023-09-03 14:39:34+00:00,945542911,62,,,95
14659176,14,Category:Cultural organizations,wikitext,en,en,ltr,2023-10-29 18:45:08+00:00,1175390958,267,,,39
54239032,14,Category:Cultural policy,wikitext,en,en,ltr,2023-07-13 10:47:13+00:00,981090915,68,,,147
62662660,14,Category:Cultural symbols,wikitext,en,en,ltr,2023-11-26 12:44:40+00:00,932389934,49,,,11
10172577,14,Category:Cultural trends,wikitext,en,en,ltr,2023-12-06 10:35:48+00:00,1134054979,59,,,1
32080122,14,Category:Culture-bound syndromes,wikitext,en,en,ltr,2023-12-01 23:58:11+00:00,1090324185,138,,,6
30819861,14,Category:Culture-related controversies,wikitext,en,en,ltr,2023-09-08 15:45:24+00:00,953413984,69,,,90
72679348,14,Category:Culture and economy,wikitext,en,en,ltr,2023-10-25 20:49:16+00:00,1178147941,94,,,43
51443608,14,Category:Culture and the environment,wikitext,en,en,ltr,2023-12-05 05:23:31+00:00,736593246,69,,,3
1865685,14,Category:Culture stubs,wikitext,en,en,ltr,2023-12-01 01:02:27+00:00,943276677,147,,,7
36590513,14,Category:Encyclopedias of culture and ethnicity,wikitext,en,en,ltr,2023-08-21 00:21:23+00:00,1041012091,181,,,109
52954353,14,Category:Essays about culture,wikitext,en,en,ltr,2023-11-17 00:39:31+00:00,763813296,65,,,21
706788,14,Category:Family,wikitext,en,en,ltr,2023-12-07 17:29:15+00:00,1089298211,445,,,0
694860,14,Category:Food and drink,wikitext,en,en,ltr,2023-12-06 14:41:15+00:00,1153040022,506,,,1
755065,14,Category:Gambling,wikitext,en,en,ltr,2023-10-17 20:16:27+00:00,1180624269,104,,,51
740309,14,Category:Gardening,wikitext,en,en,ltr,2023-11-21 13:29:17+00:00,1070281666,681,,,16
1056532,14,Category:Hygiene,wikitext,en,en,ltr,2023-12-01 19:51:08+00:00,1187844235,146,,,6
24193500,14,Category:Individualism,wikitext,en,en,ltr,2023-11-16 21:30:07+00:00,1154349753,520,,,21
23267028,14,Category:Luxury,wikitext,en,en,ltr,2023-10-25 19:28:22+00:00,547691823,64,,,43
40332900,14,Category:Philosophy of culture,wikitext,en,en,ltr,2023-11-20 14:07:30+00:00,1154229521,164,,,17
692694,14,Category:Religion,wikitext,en,en,ltr,2023-11-26 21:12:33+00:00,1164129386,255,,,11
11223487,14,Category:Ritual,wikitext,en,en,ltr,2023-10-17 04:44:33+00:00,1008854665,320,,,52
8584316,14,Category:Science and culture,wikitext,en,en,ltr,2023-11-20 10:45:05+00:00,833910525,132,,,17
8789008,14,Category:Series,wikitext,en,en,ltr,2023-11-30 19:57:41+00:00,1187550088,213,,,7
48983874,14,Category:Sharing,wikitext,en,en,ltr,2023-10-14 21:26:06+00:00,734284976,241,,,54
51081117,14,Category:Sociological and cultural aspects of autism,wikitext,en,en,ltr,2023-11-05 09:13:23+00:00,1131786187,159,,,32
21082158,14,Category:Sociology of culture,wikitext,en,en,ltr,2023-10-25 19:23:28+00:00,1053841748,222,,,43
693708,14,Category:Sports,wikitext,en,en,ltr,2023-12-07 22:12:56+00:00,1176514156,664,,,0
71331132,14,Category:Venues,wikitext,en,en,ltr,2023-11-02 20:39:42+00:00,1099162967,134,,,35
1480241,100,Portal:The arts,wikitext,en,en,ltr,2023-12-08 03:49:36+00:00,1147811344,2959,,,0
690245,0,Art world,wikitext,en,en,ltr,2023-12-06 01:58:31+00:00,1183233937,11745,,,2
340336,0,Artistic license,wikitext,en,en,ltr,2023-12-06 01:56:56+00:00,1174761950,7501,,,2
13601902,0,Arts and letters,wikitext,en,en,ltr,2023-12-06 02:20:10+00:00,1186360046,14341,,,2
18368611,0,Arts criticism,wikitext,en,en,ltr,2023-12-06 02:25:42+00:00,1182220548,2890,,,2
37151950,0,Bibliography of encyclopedias: art and artists,wikitext,en,en,ltr,2023-12-07 04:52:00+00:00,1102692169,28322,,,1
35857691,0,Carving,wikitext,en,en,ltr,2023-12-06 02:46:39+00:00,1161183890,2134,,,2
3574096,0,Community art,wikitext,en,en,ltr,2023-12-07 04:42:22+00:00,1182783623,14080,,,1
353880,0,Computer art,wikitext,en,en,ltr,2023-12-06 01:57:00+00:00,1183479351,21550,,,2
178942,0,Conceptual art,wikitext,en,en,ltr,2023-12-06 16:20:01+00:00,1178433296,58514,,,1
33962158,0,Context art,wikitext,en,en,ltr,2023-11-22 21:46:20+00:00,982971787,5118,,,15
101140,0,Cultural resource management,wikitext,en,en,ltr,2023-12-06 01:55:21+00:00,1166218373,15509,,,2
40186131,0,Culture of popular laughter,wikitext,en,en,ltr,2023-12-06 02:51:47+00:00,1048093883,3891,,,2
50110539,0,Dedication (art),wikitext,en,en,ltr,2023-12-07 04:55:14+00:00,1034550146,1463,,,1
43727113,0,Dematerialization (art),wikitext,en,en,ltr,2023-12-06 02:55:56+00:00,1144128389,1401,,,2
351909,0,Diegesis,wikitext,en,en,ltr,2023-12-07 04:40:01+00:00,1185438761,11601,,,1
25739612,0,Digital Live Art,wikitext,en,en,ltr,2023-09-05 19:50:04+00:00,1169381930,7589,,,93
8395427,0,Economics of the arts and literature,wikitext,en,en,ltr,2023-12-07 04:44:12+00:00,1182607916,28782,,,1
10799,0,Film theory,wikitext,en,en,ltr,2023-12-06 01:54:43+00:00,1184455664,17830,,,2
90317,0,Fine art,wikitext,en,en,ltr,2023-12-07 04:39:47+00:00,1183215907,45120,,,1
20443993,0,Gifted art,wikitext,en,en,ltr,2023-12-06 02:28:18+00:00,1106134199,4492,,,2
919807,0,Graphic arts,wikitext,en,en,ltr,2023-12-07 04:40:33+00:00,1182273790,6997,,,1
64674834,0,"Humanities, arts, and social sciences",wikitext,en,en,ltr,2023-12-06 21:29:25+00:00,1184032345,4878,,,1
41520090,0,Impalement in myth and art,wikitext,en,en,ltr,2023-12-06 02:53:26+00:00,1183172207,31681,,,2
429063,0,Information art,wikitext,en,en,ltr,2023-12-06 01:57:23+00:00,1186416273,10127,,,2
148121,0,Interactive art,wikitext,en,en,ltr,2023-12-06 01:56:00+00:00,1187349363,21076,,,2
65574974,0,Interdisciplinary arts,wikitext,en,en,ltr,2023-12-06 03:13:47+00:00,1107366912,3991,,,2
35853255,0,International trade in fine art,wikitext,en,en,ltr,2023-09-06 20:37:22+00:00,1141773996,16337,,,92
50504032,0,Leaf carving,wikitext,en,en,ltr,2023-12-06 06:34:10+00:00,994077366,2225,,,1
18622193,0,Painting,wikitext,en,en,ltr,2023-12-07 04:46:57+00:00,1185866888,87991,,,1
65821,0,Pastiche,wikitext,en,en,ltr,2023-12-07 04:39:45+00:00,1184642286,15833,,,1
504974,0,Patronage,wikitext,en,en,ltr,2023-12-07 04:40:11+00:00,1182064396,27997,,,1
11602228,0,Peer jury process,wikitext,en,en,ltr,2023-11-24 02:56:47+00:00,1154046091,1322,,,14
149281,0,Performance art,wikitext,en,en,ltr,2023-12-06 16:34:48+00:00,1184483976,145312,,,1
40476642,0,Poet as legislator,wikitext,en,en,ltr,2023-11-26 09:32:43+00:00,1186922815,4420,,,11
30041335,0,Repurposing,wikitext,en,en,ltr,2023-12-07 04:50:13+00:00,1175170893,11712,,,1
7524684,0,Showpiece,wikitext,en,en,ltr,2023-12-06 02:12:38+00:00,982971934,2696,,,2
36315801,0,Social artistry,wikitext,en,en,ltr,2023-12-01 21:23:12+00:00,1186976161,3293,,,6
5134465,0,Social practice,wikitext,en,en,ltr,2023-12-06 02:08:55+00:00,1146021093,9245,,,2
1546216,0,Spirit of place,wikitext,en,en,ltr,2023-12-06 02:01:23+00:00,1076846529,5436,,,2
725885,0,Studio,wikitext,en,en,ltr,2023-12-06 01:58:38+00:00,1183455020,10651,,,2
1666427,0,Transcendence (philosophy),wikitext,en,en,ltr,2023-12-07 04:41:10+00:00,1188102386,17731,,,1
59096005,0,Transformative arts,wikitext,en,en,ltr,2023-09-13 05:59:39+00:00,1152324220,3095,,,85
50113632,0,United Art Rating,wikitext,en,en,ltr,2023-08-30 00:15:07+00:00,1167968121,14389,,,100
805897,0,Useful art,wikitext,en,en,ltr,2023-11-07 16:32:25+00:00,1181335883,2978,,,30
35922455,0,Water marble nail,wikitext,en,en,ltr,2023-12-06 02:46:46+00:00,1188508126,6351,,,2
17742400,14,Category:Arts by location,wikitext,en,en,ltr,2023-11-24 03:16:34+00:00,982972005,75,,,14
43255112,14,Category:Arts by period,wikitext,en,en,ltr,2023-11-24 03:50:01+00:00,982972006,73,,,14
59103390,14,Category:Aesthetic group gymnastics,wikitext,en,en,ltr,2023-08-16 04:07:07+00:00,1157501914,81,,,114
2060070,14,Category:Aesthetics,wikitext,en,en,ltr,2023-11-13 21:03:08+00:00,1158400848,188,,,24
5344528,14,Category:Art,wikitext,en,en,ltr,2023-11-17 18:22:24+00:00,1153916068,55,,,20
4674278,14,Category:Arts-related lists,wikitext,en,en,ltr,2023-11-11 17:31:39+00:00,982972108,55,,,26
14211114,14,Category:Arts awards,wikitext,en,en,ltr,2023-11-13 21:06:13+00:00,982972033,286,,,24
52300243,14,Category:Arts bibliographies,wikitext,en,en,ltr,2023-08-25 03:59:46+00:00,982972038,75,,,105
30077631,14,Category:Arts by culture,wikitext,en,en,ltr,2023-11-24 03:32:48+00:00,1055626878,116,,,14
50463108,14,Category:Arts by type,wikitext,en,en,ltr,2023-12-02 23:18:47+00:00,1094178899,156,,,5
34299644,14,Category:Arts databases,wikitext,en,en,ltr,2023-08-24 05:41:10+00:00,982972062,98,,,106
22746207,14,Category:Arts districts,wikitext,en,en,ltr,2023-07-11 20:57:37+00:00,982972066,67,,,149
27486124,14,Category:Arts events,wikitext,en,en,ltr,2023-11-02 15:56:31+00:00,982972078,87,,,35
30060948,14,Category:Arts journals,wikitext,en,en,ltr,2023-12-07 06:44:16+00:00,1064168033,193,,,0
5638026,14,Category:Arts occupations,wikitext,en,en,ltr,2023-12-05 11:59:14+00:00,1123486572,233,,,2
4295481,14,Category:Arts organizations,wikitext,en,en,ltr,2023-11-24 02:52:51+00:00,982972120,183,,,14
63438017,14,Category:Arts schools,wikitext,en,en,ltr,2023-08-22 00:01:00+00:00,982972143,92,,,108
1024179,14,Category:Arts venues,wikitext,en,en,ltr,2023-10-18 12:26:00+00:00,1098745453,117,,,50
14729916,14,Category:Censorship in the arts,wikitext,en,en,ltr,2023-10-25 19:08:58+00:00,1118967889,101,,,43
58242084,14,Category:Creative arts therapies,wikitext,en,en,ltr,2023-08-05 00:06:16+00:00,1168780855,129,,,125
7390225,14,Category:Creative works,wikitext,en,en,ltr,2023-11-17 09:07:20+00:00,1178110938,163,,,20
51335119,14,Category:Economics of the arts and literature,wikitext,en,en,ltr,2023-11-21 01:50:00+00:00,1115469802,165,,,17
692981,14,Category:Fiction,wikitext,en,en,ltr,2023-11-20 11:09:48+00:00,1157661585,1451,,,17
64527485,14,Category:Impact of the COVID-19 pandemic on the arts and cultural heritage,wikitext,en,en,ltr,2023-02-26 06:48:07+00:00,982972049,173,,,284
17715525,14,Category:Intellectual works,wikitext,en,en,ltr,2023-11-11 04:01:11+00:00,1178111017,110,,,27
63125490,14,Category:LGBT arts,wikitext,en,en,ltr,2023-09-06 01:20:00+00:00,982972101,72,,,93
38390455,14,Category:People associated with the arts,wikitext,en,en,ltr,2023-11-24 00:23:48+00:00,982972124,110,,,14
29671305,14,Category:Religion and the arts,wikitext,en,en,ltr,2023-09-03 15:24:13+00:00,982972139,137,,,95
36859285,14,Category:The arts and politics,wikitext,en,en,ltr,2023-10-25 19:57:07+00:00,1128617460,178,,,43
39069125,14,Category:Topics in the arts,wikitext,en,en,ltr,2023-11-20 09:11:11+00:00,982972023,140,,,17
975508,14,Category:Visual arts stubs,wikitext,en,en,ltr,2023-11-24 02:45:17+00:00,1095295910,1882,,,14
18891503,14,Category:Women and the arts,wikitext,en,en,ltr,2023-10-25 19:18:20+00:00,1135629094,171,,,43
32746897,14,Category:Works about the arts,wikitext,en,en,ltr,2023-10-25 19:48:49+00:00,982972163,79,,,43
